番組ID,広告主,アイテム名,秒数,商品ID
TVWatch.121702042715,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702050430,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702050600,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702051000,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702051355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702051625,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702051700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702051900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702051954,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702052058,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702130730,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702062330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702062600,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702062559,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702062605,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702060400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702060400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702060455,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702060550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702060911,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702060800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702061025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702010700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702010700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702010800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702011550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702011650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702011900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702012100,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702012330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702061155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702061155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702061345,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702061355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702061550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702061650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702062000,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702062153,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702072410,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702072459,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702072645,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702072705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702072645,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702080400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702080400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702080455,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702080400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702080400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702080700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702062605,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702070400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702070800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702071155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702071355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702071350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702071550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702071650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702071900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702072254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702072154,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702072300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702022559,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702022605,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702030400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702030525,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702030800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702031550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702031550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702031957,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702032100,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702130800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702130950,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702082525,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702082529,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702082600,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702082705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702090400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702090400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702081355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702081550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702081550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702081650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702081650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702112415,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702112435,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702112458,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702090700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702090800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702090800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702091230,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702091350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702091550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702091956,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.61702112653,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702112723,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702112723,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702112735,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702120500,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702120730,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702120954,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702120955,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702092330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702092315,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702121155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702121400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702032358,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.121702032630,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702032620,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702032700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702040530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702041505,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702041600,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702041957,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702041830,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702041800,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702042054,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702042154,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702042300,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702152330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702121900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702122154,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702182435,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131345,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702131550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702131550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702131650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702131900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702131900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702132300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702132330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.61702142410,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702142505,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702142535,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702142558,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702142705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702150700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702150730,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702150800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702151025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702132435,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702132528,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702132505,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702132529,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702132558,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702092445,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702092525,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702092705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702100400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702100700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702100800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702101155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702101155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702101355,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702101550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702101650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702102100,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.121702132650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702141025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702141155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702141550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702141650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702141550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702141956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702142254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702142300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702142359,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702151155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702151550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702151650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702151550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702151650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702182700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702182715,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702190520,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702190955,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702191400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702191530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702191725,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702191800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702102525,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702102655,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702102700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702102707,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702102725,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702110400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702111030,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702110930,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702111130,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702111505,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702111800,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702111830,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702111957,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702112300,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.61702120400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702192410,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702201550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702201550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702152535,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702160400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702160730,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702161025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702161025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702161230,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702161550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702161650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702161550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702161550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702161550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702161956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702161956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702212330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702212330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702221550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702272330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702170400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702171025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702171155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702171550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702171650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702172100,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702172100,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702231956,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702172418,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702172418,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702172550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702172700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702172720,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702180800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702180930,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702181400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702181535,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702181730,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702181800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702181800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702181900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702181900,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702182300,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702281550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702232330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702241550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702242100,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702262410,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702251800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702252300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81703132330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81703152330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81703012330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81703012330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012412,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012412,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703010423,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703010545,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703010815,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703010911,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011150,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011255,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011255,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011555,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703011855,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042420,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042715,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042715,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050500,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050500,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703050654,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051125,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051155,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012635,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012720,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012720,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703012720,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703020815,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021150,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021150,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021255,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703021550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703021550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703021953,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61703021956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61703021956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703051720,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61703282300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81703232330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81703212330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61703091956,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703022635,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703022635,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703022705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703022735,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703022750,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703030423,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703030921,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703030921,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031255,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031255,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031350,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031555,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703031654,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703032100,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703032100,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703032254,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101703052515,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101703052515,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052535,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052635,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052735,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052735,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703052735,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703060405,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703061550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703061550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81703272330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.121703032700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703032700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703032715,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703032745,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703032750,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703040423,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703040545,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703040545,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703041800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703041800,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121703042300,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101703122725,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41703081550,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41703101550,スカパー!/スカパーJSAT,スカパー!,15,1
