TVid,番組名,ジャンル,放送日,プライム,開始時,開始分,終了時,終了分,チャンネル,放送局
TVWatch.121703222248,「所さんのそこんトコロ！」オススメ,,2017/03/22,1,22,48,22,54,12,テレビ東京
TVWatch.41702191655,「東京タラレバ娘」ついに折り返し！６話見どころＳＰ,,2017/02/19,0,16,55,17,0,4,日本テレビ
TVWatch.101702012520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/01,0,25,20,25,24,10,テレビ朝日
TVWatch.101702022520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/02,0,25,20,25,24,10,テレビ朝日
TVWatch.101702032520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/03,0,25,20,25,25,10,テレビ朝日
TVWatch.101702042540,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/04,0,25,40,25,45,10,テレビ朝日
TVWatch.101702062520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/06,0,25,20,25,24,10,テレビ朝日
TVWatch.101702072520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/07,0,25,20,25,24,10,テレビ朝日
TVWatch.101702082520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/08,0,25,20,25,24,10,テレビ朝日
TVWatch.101702092520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/09,0,25,20,25,24,10,テレビ朝日
TVWatch.101702102520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/10,0,25,20,25,25,10,テレビ朝日
TVWatch.101702112530,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/11,0,25,30,25,35,10,テレビ朝日
TVWatch.101702132520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/13,0,25,20,25,24,10,テレビ朝日
TVWatch.101702142520,「相棒－劇場版ＩＶ－」を見る前に！,,2017/02/14,0,25,20,25,24,10,テレビ朝日
TVWatch.81702262715,「突然ですが、明日結婚します」結婚観真逆のラブバトルキャッチアップＳＰ,,2017/02/26,0,27,15,27,45,8,フジテレビ
TVWatch.11701282043,「精霊の守り人」第２回直前見どころ紹介,,2017/01/28,1,20,43,20,45,1,NHK
TVWatch.11702042043,「精霊の守り人」第３回直前見どころ紹介,,2017/02/04,1,20,43,20,45,1,NHK
TVWatch.101702032450,『ぷっ』すま,[バラエティ番組],2017/02/03,0,24,50,25,20,10,テレビ朝日
TVWatch.101702102450,『ぷっ』すま,[バラエティ番組],2017/02/10,0,24,50,25,20,10,テレビ朝日
TVWatch.101702172450,『ぷっ』すま,[バラエティ番組],2017/02/17,0,24,50,25,20,10,テレビ朝日
TVWatch.101702242450,『ぷっ』すま,[バラエティ番組],2017/02/24,0,24,50,25,20,10,テレビ朝日
TVWatch.101703032450,『ぷっ』すま,[バラエティ番組],2017/03/03,0,24,50,25,20,10,テレビ朝日
TVWatch.101703102450,『ぷっ』すま,[バラエティ番組],2017/03/10,0,24,50,25,20,10,テレビ朝日
TVWatch.101703172450,『ぷっ』すま,[バラエティ番組],2017/03/17,0,24,50,25,20,10,テレビ朝日
TVWatch.101703242450,『ぷっ』すま,[バラエティ番組],2017/03/24,0,24,50,25,20,10,テレビ朝日
TVWatch.101703312450,『ぷっ』すま,[バラエティ番組],2017/03/31,0,24,50,25,20,10,テレビ朝日
TVWatch.81702012650,『突然ですが、明日結婚します』結婚観真逆のラブバトルキャッチアップＳＰ＜Ｗナイ…,,2017/02/01,0,26,50,27,20,8,フジテレビ
TVWatch.81702190415,『突然ですが、明日結婚します』結婚観真逆のラブバトルキャッチアップＳＰ＜フジバ…,,2017/02/19,0,4,15,4,50,8,フジテレビ
TVWatch.41701312654,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/01/31,0,26,54,27,54,4,日本テレビ
TVWatch.41702022659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/02,0,26,59,27,59,4,日本テレビ
TVWatch.41702052655,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/05,0,26,55,27,55,4,日本テレビ
TVWatch.41702072654,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/07,0,26,54,27,54,4,日本テレビ
TVWatch.41702092659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/09,0,26,59,27,59,4,日本テレビ
TVWatch.41702142654,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/14,0,26,54,27,54,4,日本テレビ
TVWatch.41702162659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/16,0,26,59,27,59,4,日本テレビ
TVWatch.41702212654,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/21,0,26,54,27,54,4,日本テレビ
TVWatch.41702232659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/23,0,26,59,27,59,4,日本テレビ
TVWatch.41702282654,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/02/28,0,26,54,27,54,4,日本テレビ
TVWatch.41703022704,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/02,0,27,4,27,59,4,日本テレビ
TVWatch.41703072659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/07,0,26,59,27,59,4,日本テレビ
TVWatch.41703092704,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/09,0,27,4,27,59,4,日本テレビ
TVWatch.41703142659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/14,0,26,59,27,59,4,日本テレビ
TVWatch.41703162704,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/16,0,27,4,27,59,4,日本テレビ
TVWatch.41703212659,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/21,0,26,59,27,59,4,日本テレビ
TVWatch.41703232704,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/23,0,27,4,27,59,4,日本テレビ
TVWatch.41703302704,【Ｔｏｋｙｏモダン商店】番組がオススメするプレミアムな商品をご紹介します！,,2017/03/30,0,27,4,27,59,4,日本テレビ
TVWatch.121703251830,【ローカル路線バス乗り継ぎの旅Ｚ】新シリーズ開始！伊豆下田～知多半島,,2017/03/25,0,18,30,20,54,12,テレビ東京
TVWatch.81702072300,＃ｎａｋｅｄＥｖｅ【仕事か結婚か…悩める独身女子アナ３４歳▽中尾明慶】,,2017/02/07,0,23,0,23,30,8,フジテレビ
TVWatch.81703072315,＃ｎａｋｅｄＥｖｅ【元Ｊリーガーの妻３７歳…家庭か仕事揺れる想い▼つるの剛士】,,2017/03/07,0,23,15,23,45,8,フジテレビ
TVWatch.81701312300,＃ｎａｋｅｄＥｖｅ【出張料理人２７歳…師匠に涙の恩返し▽神田沙也加】,,2017/01/31,0,23,0,23,30,8,フジテレビ
TVWatch.81702142300,＃ｎａｋｅｄＥｖｅ【夫に涙の訴え…結婚５年目の歯科衛生士３２歳▼沢村一樹】,,2017/02/14,0,23,0,23,30,8,フジテレビ
TVWatch.81702212300,＃ｎａｋｅｄＥｖｅ【女優志望２６歳…あと１年で引退決意！？▼岡本玲】,,2017/02/21,0,23,0,23,30,8,フジテレビ
TVWatch.81702282300,＃ｎａｋｅｄＥｖｅ【女性マッサージ師２７歳…開業～燃え尽き症候群▼田中麗奈】,,2017/02/28,0,23,0,23,30,8,フジテレビ
TVWatch.81703212300,＃ｎａｋｅｄＥｖｅ【妊娠、結婚、父との確執…シャンソン歌手２９歳▼乙葉】,,2017/03/21,0,23,0,23,30,8,フジテレビ
TVWatch.81703142315,＃ｎａｋｅｄＥｖｅ【父に言えない恋人の存在…スタイリスト３１歳▼桜井日奈子】,,2017/03/14,0,23,15,23,45,8,フジテレビ
TVWatch.81703282300,＃ｎａｋｅｄＥｖｅ【結婚間近の動物看護士…両親に涙のプレゼント▼ＤＡＩＧＯ】,,2017/03/28,0,23,0,23,30,8,フジテレビ
TVWatch.81702022525,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/02/02,0,25,25,26,55,8,フジテレビ
TVWatch.81702092525,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/02/09,0,25,25,26,55,8,フジテレビ
TVWatch.81702162535,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/02/16,0,25,35,27,5,8,フジテレビ
TVWatch.81702232535,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/02/23,0,25,35,27,5,8,フジテレビ
TVWatch.81703022535,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/03/02,0,25,35,27,5,8,フジテレビ
TVWatch.81703092525,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/03/09,0,25,25,26,55,8,フジテレビ
TVWatch.81703162525,＃ハイ＿ポール＜フジテレビからの！＞【クリープ尾崎世界観が女子の悩みに答えます】,,2017/03/16,0,25,25,26,55,8,フジテレビ
TVWatch.61703041400,※ラインアップ未定,,2017/03/04,0,14,0,14,54,6,TBS
TVWatch.81703292540,＜ＮＯＮＦＩＸ＞“ひらめき”で自閉症と闘う異端の出張カウンセラー＜Ｗナイト＞,,2017/03/29,0,25,40,26,40,8,フジテレビ
TVWatch.81703252615,＜ＮＯＮＦＩＸ＞映画作家・想田和弘　アメリカを“観察”する＜フジバラナイト　Ｓ…,,2017/03/25,0,26,15,27,15,8,フジテレビ
TVWatch.81702182620,＜ＮＯＮＦＩＸ＞東京プライスレス＜フジバラナイト　ＳＡＴ＞,,2017/02/18,0,26,20,27,20,8,フジテレビ
TVWatch.81702212605,＜ＮＯＮＦＩＸ＞絶滅職人＜Ｔナイト＞,,2017/02/21,0,26,5,27,5,8,フジテレビ
TVWatch.81701282340,＜オトナの土ドラ＞リテイク　時をかける想い【時をかけた薫の想い】　＃０８,,2017/01/28,0,23,40,24,35,8,フジテレビ
TVWatch.81702182340,＜オトナの土ドラ＞真昼の悪魔【「命日」悪魔が親に手を掛けるとき】　＃０３,,2017/02/18,0,23,40,24,35,8,フジテレビ
TVWatch.81702112340,＜オトナの土ドラ＞真昼の悪魔【「実験」幼き者をつまずかせる者は】　＃０２,,2017/02/11,0,23,40,24,35,8,フジテレビ
TVWatch.81703112340,＜オトナの土ドラ＞真昼の悪魔【「復讐」悪魔への反撃のシナリオは？】　＃０６,,2017/03/11,0,23,40,24,35,8,フジテレビ
TVWatch.81703182340,＜オトナの土ドラ＞真昼の悪魔【「挑戦」命を懸けた悪魔の大勝負】　＃０７,,2017/03/18,0,23,40,24,35,8,フジテレビ
TVWatch.81703042340,＜オトナの土ドラ＞真昼の悪魔【「挑発」神父ＶＳ悪魔の女医】　＃０５,,2017/03/04,0,23,40,24,35,8,フジテレビ
TVWatch.81702252340,＜オトナの土ドラ＞真昼の悪魔【「背信」悪魔の囁き…恐怖の人体実験！】　＃０４,,2017/02/25,0,23,40,24,35,8,フジテレビ
TVWatch.81702042340,＜オトナの土ドラ＞真昼の悪魔【「衝動」女神のような女医のウラの顔】　＃０１,,2017/02/04,0,23,40,24,35,8,フジテレビ
TVWatch.81703252340,＜オトナの土ドラ＞真昼の悪魔【「贖罪」愛を知った悪魔の行く末は】　＃０８,,2017/03/25,0,23,40,24,35,8,フジテレビ
TVWatch.81702022455,＜ノイタミナ＞クズの本懐　＃０４,,2017/02/02,0,24,55,25,25,8,フジテレビ
TVWatch.81702092455,＜ノイタミナ＞クズの本懐　＃０５,,2017/02/09,0,24,55,25,25,8,フジテレビ
TVWatch.81702162505,＜ノイタミナ＞クズの本懐　＃０６,,2017/02/16,0,25,5,25,35,8,フジテレビ
TVWatch.81702232505,＜ノイタミナ＞クズの本懐　＃０７,,2017/02/23,0,25,5,25,35,8,フジテレビ
TVWatch.81703022505,＜ノイタミナ＞クズの本懐　＃０８,,2017/03/02,0,25,5,25,35,8,フジテレビ
TVWatch.81703092455,＜ノイタミナ＞クズの本懐　＃０９,,2017/03/09,0,24,55,25,25,8,フジテレビ
TVWatch.81703162455,＜ノイタミナ＞クズの本懐　＃１０,,2017/03/16,0,24,55,25,25,8,フジテレビ
TVWatch.81703232535,＜ノイタミナ＞クズの本懐＜フジテレビからの！＞　＃１１,,2017/03/23,0,25,35,26,5,8,フジテレビ
TVWatch.81703302555,＜ノイタミナ＞クズの本懐＜フジテレビからの！＞　＃１２,,2017/03/30,0,25,55,26,25,8,フジテレビ
TVWatch.81702072555,＜ミッドナイトアートシアター＞ウォーターボーイズ＜Ｔナイト＞【最新作公開記念！】,,2017/02/07,0,25,55,27,50,8,フジテレビ
TVWatch.81702022200,＜木曜劇場＞嫌われる勇気【一族全員容疑者！承認欲求を否定せよ】　＃０４,,2017/02/02,1,22,0,22,54,8,フジテレビ
TVWatch.81703022200,＜木曜劇場＞嫌われる勇気【死者からの復讐！？連続殺人犯からの招待状】　＃０８,,2017/03/02,1,22,0,22,54,8,フジテレビ
TVWatch.81702232200,＜木曜劇場＞嫌われる勇気【爆弾魔ＶＳ蘭子！刻む死のカウントダウン！】　＃０７,,2017/02/23,1,22,0,22,54,8,フジテレビ
TVWatch.81703162200,＜木曜劇場＞嫌われる勇気【真犯人の正体は●●●！８係最後の事件！】　＃１０,,2017/03/16,1,22,0,22,54,8,フジテレビ
TVWatch.81702092200,＜木曜劇場＞嫌われる勇気【美しき計画殺人！血塗られたバレンタイン】　＃０５,,2017/02/09,1,22,0,22,54,8,フジテレビ
TVWatch.81702162200,＜木曜劇場＞嫌われる勇気【被害者は元カレ！？遺体が語る四年前の約束】　＃０６,,2017/02/16,1,22,0,22,54,8,フジテレビ
TVWatch.81703092200,＜木曜劇場＞嫌われる勇気【黒幕は誰だ！真実が引き裂く孤独なバディ】　＃０９,,2017/03/09,1,22,0,22,54,8,フジテレビ
TVWatch.81702032700,～ヤバイ奴らが帰ってくる！～ナイトロサーカス来日直前ＳＰ！＜フジバラナイト　Ｆ…,,2017/02/03,0,27,0,27,30,8,フジテレビ
TVWatch.121701281103,～歌のワイドショー～音楽の森　▼伍代夏子　漢方薬でまさかのアレルギー発覚！？,,2017/01/28,0,11,3,11,30,12,テレビ東京
TVWatch.121702181103,～歌のワイドショー～音楽の森　▼瀬川瑛子　オフはパチンコ三昧！,,2017/02/18,0,11,3,11,30,12,テレビ東京
TVWatch.121702251103,～歌のワイドショー～音楽の森　▼美川憲一ロサンゼルスで初コンサートを開催！,,2017/02/25,0,11,3,11,30,12,テレビ東京
TVWatch.121702111103,～歌のワイドショー～音楽の森　▼鳥羽一郎　せっかち過ぎて周りが大迷惑！,,2017/02/11,0,11,3,11,30,12,テレビ東京
TVWatch.121703041103,～歌のワイドショー～音楽の森　▽川中美幸イケメン医師にメロメロ！？,,2017/03/04,0,11,3,11,30,12,テレビ東京
TVWatch.121703181103,～歌のワイドショー～音楽の森　▽松崎しげる　医者も引くほど肌が強い！？,,2017/03/18,0,11,3,11,30,12,テレビ東京
TVWatch.121703111103,～歌のワイドショー～音楽の森　▽竹中直人　玉置浩二とアルバム制作！,,2017/03/11,0,11,3,11,30,12,テレビ東京
TVWatch.121703251103,～歌のワイドショー～音楽の森【特別編】,,2017/03/25,0,11,3,11,30,12,テレビ東京
TVWatch.121702041103,～歌のワイドショー～音楽の森▽小金沢昇司　予定を強制変更しＵＦＯ博物館へ…,,2017/02/04,0,11,3,11,30,12,テレビ東京
TVWatch.11703012620,√るーとｈｉｇｈ↑２「笑う門には福来る！鳥取　復興の町を行く」,,2017/03/01,0,26,20,27,5,1,NHK
TVWatch.41702232200,★ダウンタウンＤＸ★サンシャイン池崎が大暴走＆松本人志と初コラボ！？,,2017/02/23,1,22,0,23,0,4,日本テレビ
TVWatch.41702022200,★ダウンタウンＤＸ★ノンスタ石田ぶっちゃけ＆北斗晶夫婦（秘）話＆平野ノラの恋,,2017/02/02,1,22,0,23,0,4,日本テレビ
TVWatch.41703022200,★ダウンタウンＤＸ★ピース綾部ＮＹ断念！？ＧＡＣＫＴ愛人報道真相語る,,2017/03/02,1,22,0,23,0,4,日本テレビ
TVWatch.41702092200,★ダウンタウンＤＸ★大御所から超若手までおネエタレント１３名の狂乱ＳＰ！,,2017/02/09,1,22,0,23,0,4,日本テレビ
TVWatch.41703162200,★ダウンタウンＤＸ★松ちゃんｖｓおネエ軍団！まゆゆとゆきりんが原宿出没！,,2017/03/16,1,22,0,23,0,4,日本テレビ
TVWatch.41703092200,★ダウンタウンＤＸ★総勢１２名が大集合！超有名な親を持つ２世芸能人ＳＰ！,,2017/03/09,1,22,0,23,0,4,日本テレビ
TVWatch.41703232100,★ダウンタウンＤＸＤＸ★沢尻エリカの衝撃告白＆古坂大魔王のピコ太郎（秘）話！,,2017/03/23,1,21,0,22,54,4,日本テレビ
TVWatch.41702122545,★にけつッ！！★ゲスト暴露トークＳＰ！未公開ジュニア私生活の恥ずかし話！,,2017/02/12,0,25,45,26,15,4,日本テレビ
TVWatch.41701292555,★にけつッ！！★ケンコバに弟子入り志願の男！ジュニア必死の説得でついに…,,2017/01/29,0,25,55,26,25,4,日本テレビ
TVWatch.41703052610,★にけつッ！！★ケンコバ初めての日焼けサロンで赤面！？貫禄の松方弘樹伝説,,2017/03/05,0,26,10,26,40,4,日本テレビ
TVWatch.41702192545,★にけつッ！！★ケンコバ抱かれた女と再会？ジュニア最悪正月エジプト旅行！,,2017/02/19,0,25,45,26,15,4,日本テレビ
TVWatch.41703192545,★にけつッ！！★ケンコバ超興奮！タイ旅行の夜＆爆笑ジュニアはとバス初体験,,2017/03/19,0,25,45,26,15,4,日本テレビ
TVWatch.41703122545,★にけつッ！！★ジュニア「ヤバい！」最先端アダルト初体験＆コバあき竹城と,,2017/03/12,0,25,45,26,15,4,日本テレビ
TVWatch.41702262545,★にけつッ！！★不満爆発ノンスタ石田がイラッ！謹慎井上の爆笑問題行動！？,,2017/02/26,0,25,45,26,15,4,日本テレビ
TVWatch.41703262615,★にけつッ！！★元世界王者！長谷川穂積引退の真相語る…ジュニア謝罪のワケ,,2017/03/26,0,26,15,26,45,4,日本テレビ
TVWatch.41702052625,★にけつッ！！★藤本原西登場！爆笑「前へ出る」娘！＆ギャグアレンジ対決！,,2017/02/05,0,26,25,26,55,4,日本テレビ
TVWatch.41703232634,★ワケあり！レッドゾーン★クラフトビールに興味が尽きない男,,2017/03/23,0,26,34,27,4,4,日本テレビ
TVWatch.41703092634,★ワケあり！レッドゾーン★たい焼きを知り尽くしてしまった知的な男,,2017/03/09,0,26,34,27,4,4,日本テレビ
TVWatch.41702022629,★ワケあり！レッドゾーン★今宵は裸だらけ！脱ぎまくる男女スペシャル！,,2017/02/02,0,26,29,26,59,4,日本テレビ
TVWatch.41702092629,★ワケあり！レッドゾーン★全国１０００種類以上のポン酢を飲み歩いた女,,2017/02/09,0,26,29,26,59,4,日本テレビ
TVWatch.41702232629,★ワケあり！レッドゾーン★坂を溺愛し、全国の坂を巡りまくる男,,2017/02/23,0,26,29,26,59,4,日本テレビ
TVWatch.41702162629,★ワケあり！レッドゾーン★女子ウケメニュー！人気の水餃子を知り尽くす女,,2017/02/16,0,26,29,26,59,4,日本テレビ
TVWatch.41703302634,★ワケあり！レッドゾーン★歌うワケあり人が集結！謎の音楽祭！,,2017/03/30,0,26,34,27,4,4,日本テレビ
TVWatch.41703022634,★ワケあり！レッドゾーン★生姜を愛しすぎ…風邪をひかないと豪語する男,,2017/03/02,0,26,34,27,4,4,日本テレビ
TVWatch.41703162634,★ワケあり！レッドゾーン★街中にあるパイロンに興味が尽きない男,,2017/03/16,0,26,34,27,4,4,日本テレビ
TVWatch.41703292604,★浜ちゃんが！★ＥＸＩＬＥのＴＥＴＳＵＹＡが旨いコーヒー教えます,,2017/03/29,0,26,4,26,34,4,日本テレビ
TVWatch.41703082604,★浜ちゃんが！★アイドル＆芸人＆アスリート大集合！涙のグアムＳＰ,,2017/03/08,0,26,4,26,34,4,日本テレビ
TVWatch.41702082559,★浜ちゃんが！★サンド伊達＆アンタ柴田＆小峠らの生きざまＳＰ,,2017/02/08,0,25,59,26,29,4,日本テレビ
TVWatch.41702012559,★浜ちゃんが！★ヒデが案内する最高の羽毛布団とは！？,,2017/02/01,0,25,59,26,29,4,日本テレビ
TVWatch.41703222614,★浜ちゃんが！★ゆりやん鉄板＆新作ネタ大放出！ＡＫＩＲＡ片思い告白！,,2017/03/22,0,26,14,26,44,4,日本テレビ
TVWatch.41703152604,★浜ちゃんが！★祐真キキ海外恐怖体験を報告＆サイサイ絶叫買い物祭,,2017/03/15,0,26,4,26,34,4,日本テレビ
TVWatch.41703012604,★浜ちゃんが！ＡＫＢがグアム（秘）水着対決＆浜田暴走ビーチ対決！,,2017/03/01,0,26,4,26,34,4,日本テレビ
TVWatch.41702152559,★浜ちゃんが！グアムスペシャル！ドＳ浜田が弾けまくる！？,,2017/02/15,0,25,59,26,29,4,日本テレビ
TVWatch.41702222559,★浜ちゃんが！グアムで女子プロと罰ゲーム付きゴルフ大会開幕！,,2017/02/22,0,25,59,26,29,4,日本テレビ
TVWatch.101703011404,１００の資格を持つ女１１［再］,,2017/03/01,0,14,4,15,55,10,テレビ朝日
TVWatch.121702102254,１００年の音楽【Ｆｏｒｅｖｅｒ　Ｌｏｖｅ】,,2017/02/10,1,22,54,23,0,12,テレビ東京
TVWatch.121703172314,１００年の音楽【Ｍｏｎａ　Ｌｉｓａ】,,2017/03/17,0,23,14,23,20,12,テレビ東京
TVWatch.121703312254,１００年の音楽【ジャンヌ・イ・ポール】,,2017/03/31,1,22,54,23,0,12,テレビ東京
TVWatch.121703242254,１００年の音楽【パジャドーラ】,,2017/03/24,1,22,54,23,0,12,テレビ東京
