番組ID,商品ID,秒数
TVWatch.101702042615,55.0,15
TVWatch.101702042615,97.0,15
TVWatch.101702042645,1.0,15
TVWatch.101702042645,55.0,15
TVWatch.101702042715,113.0,15
TVWatch.101702050630,190.0,15
TVWatch.101702051000,29.0,15
TVWatch.101702051000,190.0,15
TVWatch.101702051145,33.0,15
TVWatch.101702051155,32.0,15
TVWatch.101702051155,190.0,30
TVWatch.101702051255,29.0,15
TVWatch.101702051355,1.0,15
TVWatch.101702051355,29.0,30
TVWatch.101702051355,39.0,30
TVWatch.101702051355,97.0,30
TVWatch.101702051355,190.0,15
TVWatch.101702051630,29.0,15
TVWatch.101702051630,190.0,15
TVWatch.101702051630,197.0,15
TVWatch.101702052058,1.0,15
TVWatch.101702052058,26.0,45
TVWatch.101702052058,29.0,15
TVWatch.101702052058,97.0,30
TVWatch.101702052058,190.0,45
TVWatch.101702052310,29.0,15
TVWatch.101702052315,1.0,15
TVWatch.101702052315,97.0,15
TVWatch.101702052315,190.0,15
TVWatch.101702052410,1.0,30
TVWatch.101702052410,54.0,15
TVWatch.101702052445,1.0,30
TVWatch.101702052445,32.0,60
TVWatch.101702052445,55.0,30
TVWatch.101702052445,97.0,15
TVWatch.101702060400,1.0,15
TVWatch.101702060455,1.0,15
TVWatch.101702060455,5.0,15
TVWatch.101702060700,5.0,15
TVWatch.101702060700,33.0,15
TVWatch.101702060700,39.0,30
TVWatch.101702060800,5.0,15
TVWatch.101702060800,190.0,15
TVWatch.101702061025,1.0,15
TVWatch.101702061025,5.0,15
TVWatch.101702061200,5.0,15
TVWatch.101702061200,32.0,15
TVWatch.101702061200,197.0,15
TVWatch.101702061230,5.0,15
TVWatch.101702061230,32.0,15
TVWatch.101702061230,39.0,45
TVWatch.101702061404,29.0,15
TVWatch.101702061404,33.0,15
TVWatch.101702061404,54.0,15
TVWatch.101702061555,197.0,15
TVWatch.101702061650,5.0,15
TVWatch.101702061650,97.0,15
TVWatch.101702061900,5.0,15
TVWatch.101702061900,29.0,15
TVWatch.101702061900,33.0,15
TVWatch.101702061900,55.0,15
TVWatch.101702062148,36.0,15
TVWatch.101702062154,97.0,15
TVWatch.101702062154,113.0,15
TVWatch.101702062310,29.0,15
TVWatch.101702062310,113.0,15
TVWatch.101702062315,5.0,15
TVWatch.101702062315,32.0,15
TVWatch.101702062315,55.0,15
TVWatch.101702062315,113.0,15
TVWatch.101702062315,190.0,15
TVWatch.101702062415,190.0,15
TVWatch.101702062445,5.0,15
TVWatch.101702062450,113.0,15
TVWatch.101702062450,190.0,30
TVWatch.101702062524,55.0,15
TVWatch.101702062530,32.0,15
TVWatch.101702062530,55.0,15
TVWatch.101702062530,113.0,15
TVWatch.101702062600,1.0,15
TVWatch.101702062600,32.0,15
TVWatch.101702062600,55.0,15
TVWatch.101702062600,97.0,30
TVWatch.101702062600,113.0,30
TVWatch.101702062600,197.0,15
TVWatch.101702062625,32.0,30
TVWatch.101702062625,55.0,15
TVWatch.101702062625,97.0,15
TVWatch.101702062625,113.0,15
TVWatch.101702062655,55.0,15
TVWatch.101702062655,97.0,15
TVWatch.101702062655,113.0,15
TVWatch.101702070455,26.0,30
TVWatch.101702070455,157.0,15
TVWatch.101702070455,190.0,30
TVWatch.101702070455,197.0,15
TVWatch.101702070700,39.0,15
TVWatch.101702070700,190.0,30
TVWatch.101702070800,5.0,15
TVWatch.101702070800,39.0,45
TVWatch.101702070800,190.0,15
TVWatch.101702071025,5.0,15
TVWatch.101702071025,26.0,15
TVWatch.101702071025,197.0,15
TVWatch.101702071200,5.0,15
TVWatch.101702071404,5.0,15
TVWatch.101702071404,29.0,15
TVWatch.101702071404,33.0,15
TVWatch.101702071555,5.0,15
TVWatch.101702071650,1.0,15
TVWatch.101702071650,29.0,15
TVWatch.101702071650,113.0,30
TVWatch.101702071900,29.0,15
TVWatch.101702071900,113.0,15
TVWatch.101702072148,39.0,15
TVWatch.101702072154,1.0,15
TVWatch.101702072154,5.0,15
TVWatch.101702072154,26.0,15
TVWatch.101702072154,29.0,30
TVWatch.101702072154,181.0,30
TVWatch.101702072154,190.0,15
TVWatch.101702072310,29.0,15
TVWatch.101702072315,26.0,15
TVWatch.101702072315,39.0,15
TVWatch.101702072315,190.0,15
TVWatch.101702072415,157.0,15
TVWatch.101702072415,190.0,15
TVWatch.101702072445,5.0,15
TVWatch.101702072445,39.0,30
TVWatch.101702072445,113.0,15
TVWatch.101702072450,32.0,30
TVWatch.101702072450,113.0,15
TVWatch.101702072450,157.0,15
TVWatch.101702072450,181.0,30
TVWatch.101702072450,190.0,15
TVWatch.101702072520,157.0,30
TVWatch.101702072520,190.0,15
TVWatch.101702072524,157.0,15
TVWatch.101702072530,157.0,15
TVWatch.101702072600,97.0,30
TVWatch.101702072600,113.0,15
TVWatch.101702072625,55.0,15
TVWatch.101702072625,97.0,30
TVWatch.101702072625,197.0,15
TVWatch.101702072655,197.0,15
TVWatch.101702080400,1.0,15
TVWatch.101702080455,1.0,15
TVWatch.101702080455,26.0,30
TVWatch.101702080455,66.0,15
TVWatch.101702080455,157.0,15
TVWatch.101702080455,190.0,15
TVWatch.101702080700,5.0,15
TVWatch.101702080700,26.0,15
TVWatch.101702080700,33.0,15
TVWatch.101702080700,39.0,15
TVWatch.101702080700,190.0,30
TVWatch.101702080800,39.0,45
TVWatch.101702080800,190.0,30
TVWatch.101702080800,197.0,15
TVWatch.101702081025,5.0,15
TVWatch.101702081025,26.0,15
TVWatch.101702081025,66.0,15
TVWatch.101702081200,26.0,15
TVWatch.101702081230,5.0,15
TVWatch.101702081230,26.0,15
TVWatch.101702081345,33.0,15
TVWatch.101702081404,5.0,15
TVWatch.101702081404,29.0,15
TVWatch.101702081404,54.0,15
TVWatch.101702081404,197.0,15
TVWatch.101702081555,5.0,15
TVWatch.101702081555,26.0,15
TVWatch.101702081650,1.0,15
TVWatch.101702081650,66.0,15
TVWatch.101702081650,113.0,15
TVWatch.101702081900,26.0,30
TVWatch.101702081900,29.0,30
TVWatch.101702081900,33.0,15
TVWatch.101702081900,39.0,15
TVWatch.101702081900,55.0,15
TVWatch.101702081900,66.0,15
TVWatch.101702081900,97.0,30
TVWatch.101702082054,190.0,15
TVWatch.101702082154,5.0,15
TVWatch.101702082154,29.0,15
TVWatch.101702082154,190.0,15
TVWatch.101702082310,29.0,15
TVWatch.101702082315,66.0,15
TVWatch.101702082315,113.0,15
TVWatch.101702082315,157.0,15
TVWatch.101702082315,190.0,30
TVWatch.101702082445,181.0,30
TVWatch.101702082450,5.0,15
TVWatch.101702082450,26.0,15
TVWatch.101702082450,33.0,15
TVWatch.101702082450,66.0,15
TVWatch.101702082450,157.0,15
TVWatch.101702082450,190.0,15
TVWatch.101702082520,55.0,15
TVWatch.101702082524,26.0,15
TVWatch.101702082524,66.0,15
TVWatch.101702082530,55.0,15
TVWatch.101702082600,1.0,15
TVWatch.101702082600,113.0,15
TVWatch.101702082600,197.0,15
TVWatch.101702082625,55.0,15
TVWatch.101702082625,113.0,15
TVWatch.101702082625,197.0,30
TVWatch.101702082655,55.0,30
TVWatch.101702090400,1.0,15
TVWatch.101702090455,26.0,15
TVWatch.101702090455,33.0,15
TVWatch.101702090455,157.0,15
TVWatch.101702090700,190.0,30
TVWatch.101702090800,1.0,15
TVWatch.101702090800,39.0,45
TVWatch.101702090800,190.0,30
TVWatch.101702091025,26.0,15
TVWatch.101702091025,66.0,15
TVWatch.101702091200,157.0,15
TVWatch.101702091230,1.0,15
TVWatch.101702091230,197.0,15
TVWatch.101702091404,5.0,15
TVWatch.101702091404,29.0,15
TVWatch.101702091650,29.0,15
TVWatch.101702091650,197.0,30
TVWatch.101702091900,39.0,15
TVWatch.101702091900,66.0,15
TVWatch.101702092000,26.0,15
TVWatch.101702092000,197.0,15
TVWatch.101702092154,29.0,15
TVWatch.101702092154,33.0,15
TVWatch.101702092154,39.0,15
TVWatch.101702092154,66.0,15
TVWatch.101702092154,190.0,15
TVWatch.101702092315,1.0,15
TVWatch.101702092315,157.0,30
TVWatch.101702092315,181.0,30
TVWatch.101702092315,190.0,15
TVWatch.101702092415,66.0,15
TVWatch.101702092415,113.0,15
TVWatch.101702092415,190.0,15
TVWatch.101702092445,1.0,15
TVWatch.101702092445,5.0,15
TVWatch.101702092450,36.0,15
TVWatch.101702092520,157.0,15
TVWatch.101702092524,66.0,15
TVWatch.101702092524,157.0,30
TVWatch.101702092530,55.0,15
TVWatch.101702092600,32.0,15
TVWatch.101702092600,113.0,15
TVWatch.101702092600,197.0,15
TVWatch.101702092625,26.0,15
TVWatch.101702092625,55.0,15
TVWatch.101702092655,197.0,15
TVWatch.101702100455,26.0,15
TVWatch.101702100455,66.0,15
TVWatch.101702100455,157.0,15
TVWatch.101702100455,190.0,30
TVWatch.101702100700,29.0,15
TVWatch.101702100700,190.0,30
TVWatch.101702100700,197.0,15
TVWatch.101702100800,26.0,15
TVWatch.101702101025,26.0,15
TVWatch.101702101025,33.0,15
TVWatch.101702101025,66.0,15
TVWatch.101702101230,39.0,60
TVWatch.101702101230,66.0,15
TVWatch.101702101404,29.0,15
TVWatch.101702101550,66.0,15
TVWatch.101702101550,113.0,15
TVWatch.101702101900,26.0,15
TVWatch.101702102148,33.0,15
TVWatch.101702102148,36.0,15
TVWatch.101702102148,55.0,15
TVWatch.101702102148,157.0,15
TVWatch.101702102154,5.0,15
TVWatch.101702102154,29.0,15
TVWatch.101702102154,32.0,15
TVWatch.101702102154,157.0,15
TVWatch.101702102154,181.0,30
TVWatch.101702102154,190.0,15
TVWatch.101702102310,29.0,30
TVWatch.101702102315,5.0,15
TVWatch.101702102315,33.0,15
TVWatch.101702102315,36.0,15
TVWatch.101702102315,39.0,15
TVWatch.101702102315,157.0,15
TVWatch.101702102415,26.0,15
TVWatch.101702102415,66.0,15
TVWatch.101702102420,5.0,15
TVWatch.101702102420,66.0,15
TVWatch.101702102420,113.0,15
TVWatch.101702102420,190.0,15
TVWatch.101702102450,113.0,15
TVWatch.101702102450,157.0,15
TVWatch.101702102450,197.0,15
TVWatch.101702102520,36.0,15
TVWatch.101702102520,55.0,15
TVWatch.101702102520,66.0,15
TVWatch.101702102520,157.0,15
TVWatch.101702102520,190.0,15
TVWatch.101702102525,66.0,15
TVWatch.101702102525,157.0,15
TVWatch.101702102525,190.0,15
TVWatch.101702102555,113.0,15
TVWatch.101702102625,26.0,15
TVWatch.101702102625,113.0,15
TVWatch.101702102625,197.0,15
TVWatch.101702102725,1.0,15
TVWatch.101702110500,26.0,15
TVWatch.101702110600,5.0,15
TVWatch.101702110600,26.0,45
TVWatch.101702110600,33.0,15
TVWatch.101702110600,39.0,15
TVWatch.101702110600,66.0,30
TVWatch.101702110600,97.0,15
TVWatch.101702110600,157.0,15
TVWatch.101702110800,39.0,15
TVWatch.101702110800,190.0,15
TVWatch.101702110955,157.0,15
TVWatch.101702111000,32.0,30
TVWatch.101702111000,190.0,15
TVWatch.101702111055,66.0,15
TVWatch.101702111055,157.0,15
TVWatch.101702111055,190.0,30
TVWatch.101702111145,66.0,15
TVWatch.101702111200,5.0,15
TVWatch.101702111200,29.0,15
TVWatch.101702111200,33.0,15
TVWatch.101702111200,55.0,15
TVWatch.101702111200,66.0,15
TVWatch.101702111200,157.0,15
TVWatch.101702111200,190.0,30
TVWatch.101702111420,55.0,15
TVWatch.101702111420,66.0,15
TVWatch.101702111420,97.0,15
TVWatch.101702111420,157.0,15
TVWatch.101702111420,190.0,15
TVWatch.101702111630,97.0,30
TVWatch.101702112100,29.0,15
TVWatch.101702112100,97.0,30
TVWatch.101702112306,29.0,30
TVWatch.101702112306,39.0,15
TVWatch.101702112315,97.0,30
TVWatch.101702112315,113.0,45
TVWatch.101702112315,197.0,15
TVWatch.101702112409,1.0,15
TVWatch.101702112415,1.0,15
TVWatch.101702112415,113.0,15
TVWatch.101702112415,181.0,30
TVWatch.101702112435,5.0,15
TVWatch.101702112500,113.0,15
TVWatch.101702112535,32.0,15
TVWatch.101702112535,97.0,15
TVWatch.101702112605,26.0,30
TVWatch.101702112605,55.0,45
TVWatch.101702112735,1.0,15
TVWatch.101702120630,33.0,15
TVWatch.101702120630,157.0,15
TVWatch.101702120830,97.0,30
TVWatch.101702120930,66.0,15
TVWatch.101702121000,29.0,15
TVWatch.101702121000,39.0,15
TVWatch.101702121000,55.0,15
TVWatch.101702121000,97.0,15
TVWatch.101702121000,157.0,15
TVWatch.101702121155,5.0,15
TVWatch.101702121155,32.0,15
TVWatch.101702121155,66.0,15
TVWatch.101702121155,157.0,15
TVWatch.101702121355,29.0,45
TVWatch.101702121355,32.0,15
TVWatch.101702121355,197.0,15
TVWatch.101702121520,26.0,15
TVWatch.101702121520,29.0,30
TVWatch.101702121520,66.0,15
TVWatch.101702121520,97.0,15
TVWatch.101702121520,190.0,30
TVWatch.101702121630,29.0,15
TVWatch.101702121630,66.0,15
TVWatch.101702121630,190.0,30
TVWatch.101702121630,197.0,15
TVWatch.101702121800,10.0,15
TVWatch.101702121800,26.0,15
TVWatch.101702121857,181.0,30
TVWatch.101702121958,26.0,30
TVWatch.101702122100,26.0,30
TVWatch.101702122100,29.0,15
TVWatch.101702122100,66.0,15
TVWatch.101702122100,97.0,30
TVWatch.101702122100,157.0,15
TVWatch.101702122100,190.0,30
TVWatch.101702122319,29.0,15
TVWatch.101702122319,66.0,15
TVWatch.101702122319,190.0,30
TVWatch.101702122325,5.0,15
TVWatch.101702122325,26.0,15
TVWatch.101702122325,66.0,15
TVWatch.101702122325,97.0,30
TVWatch.101702122325,190.0,30
TVWatch.101702122420,1.0,30
TVWatch.101702122420,26.0,15
TVWatch.101702122420,157.0,15
TVWatch.101702122420,181.0,30
TVWatch.101702122455,1.0,15
TVWatch.101702122455,26.0,30
TVWatch.101702122455,32.0,60
TVWatch.101702122455,55.0,30
TVWatch.101702122455,97.0,30
TVWatch.101702122455,197.0,15
TVWatch.101702130455,5.0,15
TVWatch.101702130455,26.0,15
TVWatch.101702130455,157.0,15
TVWatch.101702130800,1.0,15
TVWatch.101702130800,66.0,15
TVWatch.101702130800,157.0,15
TVWatch.101702131025,5.0,15
TVWatch.101702131025,26.0,15
TVWatch.101702131025,66.0,15
TVWatch.101702131025,197.0,15
TVWatch.101702131200,197.0,15
TVWatch.101702131230,5.0,15
TVWatch.101702131230,39.0,30
TVWatch.101702131230,66.0,15
TVWatch.101702131230,157.0,15
TVWatch.101702131555,26.0,15
TVWatch.101702131555,197.0,15
TVWatch.101702131650,26.0,15
TVWatch.101702131650,66.0,15
TVWatch.101702131650,97.0,15
TVWatch.101702131650,157.0,15
TVWatch.101702131650,181.0,30
TVWatch.101702131900,26.0,45
TVWatch.101702131900,83.0,30
TVWatch.101702131900,97.0,30
TVWatch.101702131900,157.0,15
TVWatch.101702132154,26.0,15
TVWatch.101702132154,29.0,15
TVWatch.101702132154,97.0,15
TVWatch.101702132154,190.0,30
TVWatch.101702132315,66.0,15
TVWatch.101702132315,83.0,30
TVWatch.101702132315,181.0,30
TVWatch.101702132315,190.0,15
TVWatch.101702132445,190.0,15
TVWatch.101702132450,190.0,15
TVWatch.101702132524,55.0,30
TVWatch.101702132530,157.0,15
TVWatch.101702132600,26.0,15
TVWatch.101702132600,32.0,15
TVWatch.101702132600,97.0,15
TVWatch.101702132600,197.0,15
TVWatch.101702132625,32.0,30
TVWatch.101702132625,55.0,15
TVWatch.101702132625,97.0,30
TVWatch.101702140455,26.0,15
TVWatch.101702140455,66.0,15
TVWatch.101702140455,83.0,30
TVWatch.101702140455,157.0,15
TVWatch.101702140455,190.0,30
TVWatch.101702140700,157.0,15
TVWatch.101702140800,190.0,15
TVWatch.101702140955,197.0,15
TVWatch.101702141025,5.0,15
TVWatch.101702141025,26.0,15
TVWatch.101702141025,66.0,15
TVWatch.101702141230,5.0,15
TVWatch.101702141404,5.0,15
TVWatch.101702141555,66.0,15
TVWatch.101702141650,1.0,15
TVWatch.101702141650,66.0,15
TVWatch.101702141650,97.0,15
TVWatch.101702141650,197.0,15
TVWatch.101702141954,66.0,15
TVWatch.101702142154,97.0,15
TVWatch.101702142154,181.0,30
TVWatch.101702142315,97.0,15
TVWatch.101702142315,157.0,15
TVWatch.101702142415,97.0,15
TVWatch.101702142415,190.0,15
TVWatch.101702142450,157.0,15
TVWatch.101702142520,157.0,30
TVWatch.101702142524,66.0,15
TVWatch.101702142524,97.0,30
TVWatch.101702142530,157.0,30
TVWatch.101702142600,97.0,30
TVWatch.101702142625,55.0,15
TVWatch.101702142625,97.0,15
TVWatch.101702150455,157.0,15
TVWatch.101702150700,157.0,15
TVWatch.101702150800,1.0,15
TVWatch.101702150800,83.0,30
TVWatch.101702151404,5.0,15
TVWatch.101702151650,197.0,15
TVWatch.101702151900,39.0,15
TVWatch.101702151956,83.0,30
TVWatch.101702152054,32.0,15
TVWatch.101702152054,83.0,30
TVWatch.101702152450,36.0,15
TVWatch.101702152520,55.0,15
TVWatch.101702152520,97.0,15
TVWatch.101702152556,97.0,15
TVWatch.101702152556,157.0,15
TVWatch.101702152556,197.0,15
TVWatch.101702152621,32.0,15
TVWatch.101702152621,55.0,30
TVWatch.101702152651,32.0,30
TVWatch.101702152651,55.0,15
TVWatch.101702160400,1.0,15
TVWatch.101702160455,157.0,15
TVWatch.101702160700,83.0,30
TVWatch.101702160700,157.0,15
TVWatch.101702161230,1.0,15
TVWatch.101702161230,197.0,15
TVWatch.101702161404,5.0,15
TVWatch.101702161650,97.0,15
TVWatch.101702161650,197.0,15
TVWatch.101702161900,83.0,30
TVWatch.101702161900,181.0,30
TVWatch.101702162000,197.0,15
TVWatch.101702162054,83.0,30
TVWatch.101702162315,157.0,30
TVWatch.101702162415,36.0,15
TVWatch.101702162450,157.0,15
TVWatch.101702162450,197.0,15
TVWatch.101702162520,55.0,15
TVWatch.101702162520,157.0,30
TVWatch.101702162526,157.0,30
TVWatch.101702162556,55.0,15
TVWatch.101702162556,97.0,15
TVWatch.101702162556,157.0,15
TVWatch.101702162556,197.0,15
TVWatch.101702162621,97.0,15
TVWatch.101702162651,97.0,15
TVWatch.101702170455,42.0,15
TVWatch.101702170455,157.0,15
TVWatch.101702170700,39.0,15
TVWatch.101702170800,197.0,15
TVWatch.101702171230,39.0,30
TVWatch.101702171230,157.0,15
TVWatch.101702171404,5.0,15
TVWatch.101702171550,10.0,30
TVWatch.101702171550,42.0,15
TVWatch.101702171550,97.0,15
TVWatch.101702171930,10.0,15
TVWatch.101702171930,42.0,15
TVWatch.101702171954,42.0,30
TVWatch.101702172000,7.0,30
TVWatch.101702172000,113.0,30
TVWatch.101702172148,157.0,15
TVWatch.101702172154,97.0,60
TVWatch.101702172315,39.0,15
TVWatch.101702172315,97.0,15
TVWatch.101702172315,157.0,15
TVWatch.101702172420,83.0,30
TVWatch.101702172420,97.0,15
TVWatch.101702172520,157.0,15
TVWatch.101702172620,55.0,30
TVWatch.101702172620,97.0,15
TVWatch.101702172620,197.0,15
TVWatch.101702172720,1.0,15
TVWatch.101702180600,5.0,15
TVWatch.101702180600,97.0,30
TVWatch.101702180600,197.0,15
TVWatch.101702180800,83.0,30
TVWatch.101702180800,157.0,15
TVWatch.101702180930,42.0,15
TVWatch.101702180955,157.0,15
TVWatch.101702181000,39.0,15
TVWatch.101702181000,42.0,15
TVWatch.101702181000,157.0,15
TVWatch.101702181358,10.0,15
TVWatch.101702181455,10.0,15
TVWatch.101702181455,42.0,15
TVWatch.101702181630,97.0,30
TVWatch.101702181630,157.0,15
TVWatch.101702181630,197.0,15
TVWatch.101702181856,42.0,15
TVWatch.101702181856,83.0,30
TVWatch.101702182100,97.0,15
TVWatch.101702182306,39.0,15
TVWatch.101702182306,97.0,15
TVWatch.101702182312,39.0,15
TVWatch.101702182315,83.0,30
TVWatch.101702182600,10.0,15
TVWatch.101702182600,55.0,15
TVWatch.101702182600,97.0,15
TVWatch.101702182630,55.0,15
TVWatch.101702182700,1.0,15
TVWatch.101702190630,157.0,15
TVWatch.101702190700,10.0,15
TVWatch.101702190800,10.0,15
TVWatch.101702190800,42.0,15
TVWatch.101702190830,97.0,30
TVWatch.101702191000,42.0,15
TVWatch.101702191000,97.0,15
TVWatch.101702191355,5.0,30
TVWatch.101702191520,97.0,30
TVWatch.101702191630,36.0,15
TVWatch.101702191630,197.0,15
TVWatch.101702191800,1.0,15
TVWatch.101702191800,10.0,15
TVWatch.101702192058,157.0,15
TVWatch.101702192315,83.0,30
TVWatch.101702192315,97.0,15
TVWatch.101702192410,1.0,30
TVWatch.101702192410,42.0,15
TVWatch.101702192410,97.0,30
TVWatch.101702192445,32.0,60
TVWatch.101702192445,55.0,30
TVWatch.101702192445,97.0,15
TVWatch.101702192445,197.0,15
TVWatch.101702200800,83.0,30
TVWatch.101702200955,197.0,15
TVWatch.101702201230,39.0,15
TVWatch.101702201404,197.0,15
TVWatch.101702201650,97.0,45
TVWatch.101702201900,33.0,30
TVWatch.101702201900,83.0,30
TVWatch.101702201900,97.0,15
TVWatch.101702202148,42.0,15
TVWatch.101702202154,83.0,30
TVWatch.101702202310,97.0,30
TVWatch.101702202315,83.0,30
TVWatch.101702202415,97.0,15
